step	het	eps	
0	3.141593e-15	7.853982e-23	
1000	1.725213e-14	7.853982e-23	
2000	4.503840e-14	7.853982e-23	
3000	7.365033e-14	7.853982e-23	
4000	1.028607e-13	7.853982e-23	
5000	1.324501e-13	7.853982e-23	
6000	1.622571e-13	7.853982e-23	
step	het	eps	
0	3.141593e-15	7.853982e-23	
1000	1.725213e-14	7.853982e-23	
step	het	eps	
0	3.141593e-15	7.853982e-23	
1000	0.000000e+00	3.797187e-15	
2000	0.000000e+00	3.797187e-15	
3000	0.000000e+00	3.797187e-15	
4000	0.000000e+00	3.797187e-15	
5000	0.000000e+00	3.797187e-15	
6000	0.000000e+00	3.797187e-15	
7000	0.000000e+00	3.797187e-15	
8000	0.000000e+00	3.797187e-15	
9000	0.000000e+00	3.797187e-15	
10000	0.000000e+00	3.797187e-15	
11000	0.000000e+00	3.797187e-15	
12000	0.000000e+00	3.797187e-15	
13000	0.000000e+00	3.797187e-15	
14000	0.000000e+00	3.797187e-15	
15000	0.000000e+00	3.797187e-15	
16000	0.000000e+00	3.797187e-15	
17000	0.000000e+00	3.797187e-15	
18000	0.000000e+00	3.797187e-15	
19000	0.000000e+00	3.797187e-15	
20000	0.000000e+00	3.797187e-15	
21000	0.000000e+00	3.797187e-15	
22000	0.000000e+00	3.797187e-15	
23000	0.000000e+00	3.797187e-15	
24000	0.000000e+00	3.797187e-15	
25000	0.000000e+00	3.797187e-15	
26000	0.000000e+00	3.797187e-15	
27000	0.000000e+00	3.797187e-15	
28000	0.000000e+00	3.797187e-15	
29000	0.000000e+00	3.797187e-15	
30000	0.000000e+00	3.797187e-15	
31000	0.000000e+00	3.797187e-15	
32000	0.000000e+00	3.797187e-15	
33000	0.000000e+00	3.797187e-15	
34000	0.000000e+00	3.797187e-15	
35000	0.000000e+00	3.797187e-15	
36000	0.000000e+00	3.797187e-15	
37000	0.000000e+00	3.797187e-15	
38000	0.000000e+00	3.797187e-15	
39000	0.000000e+00	3.797187e-15	
40000	0.000000e+00	3.797187e-15	
41000	0.000000e+00	3.797187e-15	
42000	0.000000e+00	3.797187e-15	
43000	0.000000e+00	3.797187e-15	
44000	0.000000e+00	3.797187e-15	
45000	0.000000e+00	3.797187e-15	
46000	0.000000e+00	3.797187e-15	
47000	0.000000e+00	3.797187e-15	
48000	0.000000e+00	3.797187e-15	
49000	0.000000e+00	3.797187e-15	
50000	0.000000e+00	3.797187e-15	
51000	0.000000e+00	3.797187e-15	
52000	0.000000e+00	3.797187e-15	
53000	0.000000e+00	3.797187e-15	
54000	0.000000e+00	3.797187e-15	
55000	0.000000e+00	3.797187e-15	
56000	0.000000e+00	3.797187e-15	
57000	0.000000e+00	3.797187e-15	
58000	0.000000e+00	3.797187e-15	
59000	0.000000e+00	3.797187e-15	
60000	0.000000e+00	3.797187e-15	
61000	0.000000e+00	3.797187e-15	
62000	0.000000e+00	3.797187e-15	
63000	0.000000e+00	3.797187e-15	
64000	0.000000e+00	3.797187e-15	
65000	0.000000e+00	3.797187e-15	
66000	0.000000e+00	3.797187e-15	
67000	0.000000e+00	3.797187e-15	
68000	0.000000e+00	3.797187e-15	
69000	0.000000e+00	3.797187e-15	
70000	0.000000e+00	3.797187e-15	
71000	0.000000e+00	3.797187e-15	
72000	0.000000e+00	3.797187e-15	
73000	0.000000e+00	3.797187e-15	
74000	0.000000e+00	3.797187e-15	
75000	0.000000e+00	3.797187e-15	
76000	0.000000e+00	3.797187e-15	
77000	0.000000e+00	3.797187e-15	
78000	0.000000e+00	3.797187e-15	
79000	0.000000e+00	3.797187e-15	
80000	0.000000e+00	3.797187e-15	
step	het	eps	
0	3.141593e-15	7.853982e-23	
1000	4.490625e-15	5.336438e-15	
2000	4.197216e-15	1.131648e-14	
3000	8.413578e-15	1.690372e-14	
4000	1.247862e-14	2.715281e-14	
5000	1.301429e-14	4.348235e-14	
6000	1.415945e-14	6.004430e-14	
step	het	eps	
0	3.141593e-15	7.853982e-23	
1000	1.725750e-14	7.853982e-23	
step	muta	mutb	
0	3.141593e-15	7.853982e-23	
1000	4.712389e-16	2.670354e-15	
2000	1.570796e-16	2.984513e-15	
3000	0.000000e+00	3.141593e-15	
4000	0.000000e+00	3.141593e-15	
5000	0.000000e+00	3.141593e-15	
6000	0.000000e+00	3.141593e-15	
7000	0.000000e+00	3.141593e-15	
8000	0.000000e+00	3.141593e-15	
9000	0.000000e+00	3.141593e-15	
10000	0.000000e+00	3.141593e-15	
11000	0.000000e+00	3.141593e-15	
12000	0.000000e+00	3.141593e-15	
13000	0.000000e+00	3.141593e-15	
14000	0.000000e+00	3.141593e-15	
15000	0.000000e+00	3.141593e-15	
16000	0.000000e+00	3.141593e-15	
17000	0.000000e+00	3.141593e-15	
18000	0.000000e+00	3.141593e-15	
19000	0.000000e+00	3.141593e-15	
20000	0.000000e+00	3.141593e-15	
21000	0.000000e+00	3.141593e-15	
22000	0.000000e+00	3.141593e-15	
23000	0.000000e+00	3.141593e-15	
24000	0.000000e+00	3.141593e-15	
25000	0.000000e+00	3.141593e-15	
26000	0.000000e+00	3.141593e-15	
27000	0.000000e+00	3.141593e-15	
28000	0.000000e+00	3.141593e-15	
29000	0.000000e+00	3.141593e-15	
30000	0.000000e+00	3.141593e-15	
31000	0.000000e+00	3.141593e-15	
32000	0.000000e+00	3.141593e-15	
33000	0.000000e+00	3.141593e-15	
34000	0.000000e+00	3.141593e-15	
35000	0.000000e+00	3.141593e-15	
step	muta	mutb	
0	3.141593e-15	7.853982e-23	
1000	4.712389e-16	2.670354e-15	
2000	1.570796e-16	2.984513e-15	
3000	0.000000e+00	3.141593e-15	
4000	0.000000e+00	3.141593e-15	
5000	0.000000e+00	3.141593e-15	
6000	0.000000e+00	3.141593e-15	
7000	0.000000e+00	3.141593e-15	
8000	0.000000e+00	3.141593e-15	
9000	0.000000e+00	3.141593e-15	
10000	0.000000e+00	3.141593e-15	
11000	0.000000e+00	3.141593e-15	
12000	0.000000e+00	3.141593e-15	
13000	0.000000e+00	3.141593e-15	
14000	0.000000e+00	3.141593e-15	
15000	0.000000e+00	3.141593e-15	
16000	0.000000e+00	3.141593e-15	
17000	0.000000e+00	3.141593e-15	
18000	0.000000e+00	3.141593e-15	
19000	0.000000e+00	3.141593e-15	
20000	0.000000e+00	3.141593e-15	
21000	0.000000e+00	3.141593e-15	
22000	0.000000e+00	3.141593e-15	
23000	0.000000e+00	3.141593e-15	
24000	0.000000e+00	3.141593e-15	
25000	0.000000e+00	3.141593e-15	
26000	0.000000e+00	3.141593e-15	
27000	0.000000e+00	3.141593e-15	
28000	0.000000e+00	3.141593e-15	
29000	0.000000e+00	3.141593e-15	
30000	0.000000e+00	3.141593e-15	
31000	0.000000e+00	3.141593e-15	
32000	0.000000e+00	3.141593e-15	
33000	0.000000e+00	3.141593e-15	
34000	0.000000e+00	3.141593e-15	
35000	0.000000e+00	3.141593e-15	
36000	0.000000e+00	3.141593e-15	
37000	0.000000e+00	3.141593e-15	
38000	0.000000e+00	3.141593e-15	
39000	0.000000e+00	3.141593e-15	
40000	0.000000e+00	3.141593e-15	
41000	0.000000e+00	3.141593e-15	
42000	0.000000e+00	3.141593e-15	
43000	0.000000e+00	3.141593e-15	
44000	0.000000e+00	3.141593e-15	
45000	0.000000e+00	3.141593e-15	
46000	0.000000e+00	3.141593e-15	
47000	0.000000e+00	3.141593e-15	
48000	0.000000e+00	3.141593e-15	
49000	0.000000e+00	3.141593e-15	
50000	0.000000e+00	3.141593e-15	
51000	0.000000e+00	3.141593e-15	
52000	0.000000e+00	3.141593e-15	
53000	0.000000e+00	3.141593e-15	
54000	0.000000e+00	3.141593e-15	
55000	0.000000e+00	3.141593e-15	
56000	0.000000e+00	3.141593e-15	
57000	0.000000e+00	3.141593e-15	
58000	0.000000e+00	3.141593e-15	
59000	0.000000e+00	3.141593e-15	
60000	0.000000e+00	3.141593e-15	
61000	0.000000e+00	3.141593e-15	
62000	0.000000e+00	3.141593e-15	
63000	0.000000e+00	3.141593e-15	
64000	0.000000e+00	3.141593e-15	
65000	0.000000e+00	3.141593e-15	
66000	0.000000e+00	3.141593e-15	
67000	0.000000e+00	3.141593e-15	
68000	0.000000e+00	3.141593e-15	
69000	0.000000e+00	3.141593e-15	
70000	0.000000e+00	3.141593e-15	
71000	0.000000e+00	3.141593e-15	
72000	0.000000e+00	3.141593e-15	
step	muta	mutb	
0	3.141593e-15	7.853982e-23	
1000	4.712389e-16	2.670354e-15	
2000	1.570796e-16	2.984513e-15	
3000	0.000000e+00	3.141593e-15	
4000	0.000000e+00	3.141593e-15	
5000	0.000000e+00	3.141593e-15	
6000	0.000000e+00	3.141593e-15	
7000	0.000000e+00	3.141593e-15	
8000	0.000000e+00	3.141593e-15	
9000	0.000000e+00	3.141593e-15	
10000	0.000000e+00	3.141593e-15	
