step	het	eps	
0	40	1	
1000	40	1	
2000	40	1	
3000	40	1	
4000	40	1	
5000	40	1	
6000	40	1	
step	het	eps	
0	40	1	
1000	40	1	
step	het	eps	
0	40	1	
1000	0	41	
2000	0	41	
3000	0	41	
4000	0	41	
5000	0	41	
6000	0	41	
7000	0	41	
8000	0	41	
9000	0	41	
10000	0	41	
11000	0	41	
12000	0	41	
13000	0	41	
14000	0	41	
15000	0	41	
16000	0	41	
17000	0	41	
18000	0	41	
19000	0	41	
20000	0	41	
21000	0	41	
22000	0	41	
23000	0	41	
24000	0	41	
25000	0	41	
26000	0	41	
27000	0	41	
28000	0	41	
29000	0	41	
30000	0	41	
31000	0	41	
32000	0	41	
33000	0	41	
34000	0	41	
35000	0	41	
36000	0	41	
37000	0	41	
38000	0	41	
39000	0	41	
40000	0	41	
41000	0	41	
42000	0	41	
43000	0	41	
44000	0	41	
45000	0	41	
46000	0	41	
47000	0	41	
48000	0	41	
49000	0	41	
50000	0	41	
51000	0	41	
52000	0	41	
53000	0	41	
54000	0	41	
55000	0	41	
56000	0	41	
57000	0	41	
58000	0	41	
59000	0	41	
60000	0	41	
61000	0	41	
62000	0	41	
63000	0	41	
64000	0	41	
65000	0	41	
66000	0	41	
67000	0	41	
68000	0	41	
69000	0	41	
70000	0	41	
71000	0	41	
72000	0	41	
73000	0	41	
74000	0	41	
75000	0	41	
76000	0	41	
77000	0	41	
78000	0	41	
79000	0	41	
80000	0	41	
step	het	eps	
0	40	1	
1000	32	41	
2000	22	85	
3000	54	127	
4000	77	205	
5000	82	326	
6000	95	446	
step	het	eps	
0	40	1	
1000	96	1	
step	muta	mutb	
0	40	1	
1000	6	35	
2000	2	39	
3000	0	41	
4000	0	41	
5000	0	41	
6000	0	41	
7000	0	41	
8000	0	41	
9000	0	41	
10000	0	41	
11000	0	41	
12000	0	41	
13000	0	41	
14000	0	41	
15000	0	41	
16000	0	41	
17000	0	41	
18000	0	41	
19000	0	41	
20000	0	41	
21000	0	41	
22000	0	41	
23000	0	41	
24000	0	41	
25000	0	41	
26000	0	41	
27000	0	41	
28000	0	41	
29000	0	41	
30000	0	41	
31000	0	41	
32000	0	41	
33000	0	41	
34000	0	41	
35000	0	41	
step	muta	mutb	
0	40	1	
1000	6	35	
2000	2	39	
3000	0	41	
4000	0	41	
5000	0	41	
6000	0	41	
7000	0	41	
8000	0	41	
9000	0	41	
10000	0	41	
11000	0	41	
12000	0	41	
13000	0	41	
14000	0	41	
15000	0	41	
16000	0	41	
17000	0	41	
18000	0	41	
19000	0	41	
20000	0	41	
21000	0	41	
22000	0	41	
23000	0	41	
24000	0	41	
25000	0	41	
26000	0	41	
27000	0	41	
28000	0	41	
29000	0	41	
30000	0	41	
31000	0	41	
32000	0	41	
33000	0	41	
34000	0	41	
35000	0	41	
36000	0	41	
37000	0	41	
38000	0	41	
39000	0	41	
40000	0	41	
41000	0	41	
42000	0	41	
43000	0	41	
44000	0	41	
45000	0	41	
46000	0	41	
47000	0	41	
48000	0	41	
49000	0	41	
50000	0	41	
51000	0	41	
52000	0	41	
53000	0	41	
54000	0	41	
55000	0	41	
56000	0	41	
57000	0	41	
58000	0	41	
59000	0	41	
60000	0	41	
61000	0	41	
62000	0	41	
63000	0	41	
64000	0	41	
65000	0	41	
66000	0	41	
67000	0	41	
68000	0	41	
69000	0	41	
70000	0	41	
71000	0	41	
72000	0	41	
step	muta	mutb	
0	40	1	
1000	6	35	
2000	2	39	
3000	0	41	
4000	0	41	
5000	0	41	
6000	0	41	
7000	0	41	
8000	0	41	
9000	0	41	
10000	0	41	
11000	0	41	
12000	0	41	
13000	0	41	
14000	0	41	
15000	0	41	
16000	0	41	
17000	0	41	
18000	0	41	
19000	0	41	
20000	0	41	
21000	0	41	
22000	0	41	
23000	0	41	
24000	0	41	
25000	0	41	
26000	0	41	
27000	0	41	
28000	0	41	
29000	0	41	
30000	0	41	
31000	0	41	
32000	0	41	
33000	0	41	
34000	0	41	
step	muta	mutb	
0	40	1	
1000	6	35	
2000	2	39	
3000	0	41	
4000	0	41	
5000	0	41	
6000	0	41	
7000	0	41	
8000	0	41	
9000	0	41	
10000	0	41	
11000	0	41	
12000	0	41	
13000	0	41	
14000	0	41	
15000	0	41	
16000	0	41	
17000	0	41	
18000	0	41	
19000	0	41	
20000	0	41	
21000	0	41	
22000	0	41	
23000	0	41	
24000	0	41	
25000	0	41	
26000	0	41	
27000	0	41	
28000	0	41	
29000	0	41	
30000	0	41	
31000	0	41	
32000	0	41	
33000	0	41	
34000	0	41	
35000	0	41	
36000	0	41	
37000	0	41	
38000	0	41	
step	mta	mtb	
0	40	1	
1000	6	35	
2000	0	45	
3000	0	45	
4000	0	45	
5000	0	45	
6000	0	45	
7000	0	45	
step	mta	mtb	
0	40	1	
1000	6	35	
2000	0	45	
3000	0	45	
4000	0	45	
5000	0	45	
6000	0	45	
7000	0	45	
8000	0	45	
9000	0	45	
10000	0	45	
11000	0	45	
12000	0	45	
13000	0	45	
14000	0	45	
15000	0	45	
16000	0	45	
17000	0	45	
18000	0	45	
19000	0	45	
20000	0	45	
21000	0	45	
22000	0	45	
23000	0	45	
24000	0	45	
25000	0	45	
26000	0	45	
27000	0	45	
28000	0	45	
